tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapa 6232600 0.00000017 ecm:0.0000
etapa 6232700 0.00000017 ecm:0.0000
etapa 6232800 0.00000017 ecm:0.0000
etapa 6232900 0.00000017 ecm:0.0000
etapa 6233000 0.00000017 ecm:0.0000
etapa 6233100 0.00000017 ecm:0.0000
etapa 6233200 0.00000017 ecm:0.0000
etapa 6233300 0.00000017 ecm:0.0000
etapa 6233400 0.00000017 ecm:0.0000
etapa 6233500 0.00000017 ecm:0.0000
etapa 6233600 0.00000017 ecm:0.0000
etapa 6233700 0.00000017 ecm:0.0000
etapa 6233800 0.00000017 ecm:0.0000
etapa 6233900 0.00000017 ecm:0.0000
etapa 6234000 0.00000017 ecm:0.0000
etapa 6234100 0.00000017 ecm:0.0000
etapa 6234200 0.00000017 ecm:0.0000
etapa 6234300 0.00000017 ecm:0.0000
etapa 6234400 0.00000017 ecm:0.0000
etapa 6234500 0.00000017 ecm:0.0000
etapa 6234600 0.00000017 ecm:0.0000
etapa 6234700 0.00000017 ecm:0.0000
etapa 6234800 0.00000017 ecm:0.0000
etapa 6234900 0.00000017 ecm:0.0000
etapa 6235000 0.00000017 ecm:0.0000
etapa 6235100 0.00000017 ecm:0.0000
etapa 6235200 0.00000017 ecm:0.0000
etapa 6235300 0.00000017 ecm:0.0000
etapa 6235400 0.00000017 ecm:0.0000
etapa 6235500 0.00000017 ecm:0.0000
etapa 6235600 0.00000017 ecm:0.0000
etapa 6235700 0.00000017 ecm:0.0000
etapa 6235800 0.00000017 ecm:0.0000
etapa 6235900 0.00000017 ecm:0.0000
etapa 6236000 0.00000017 ecm:0.0000
etapa 6236100 0.00000017 ecm:0.0000
etapa 6236200 0.00000017 ecm:0.0000
etapa 6236300 0.00000017 ecm:0.0000
etapa 6236400 0.00000017 ecm:0.0000
etapa 6236500 0.00000017 ecm:0.0000
etapa 6236600 0.00000017 ecm:0.0000
etapa 6236700 0.00000017 ecm:0.0000
etapa 6236800 0.00000017 ecm:0.0000
etapa 6236900 0.00000017 ecm:0.0000
etapa 6237000 0.00000017 ecm:0.0000
etapa 6237100 0.00000017 ecm:0.0000
etapa 6237200 0.00000017 ecm:0.0000
etapa 6237300 0.00000017 ecm:0.0000
etapa 6237400 0.00000017 ecm:0.0000
etapa 6237500 0.00000017 ecm:0.0000
etapa 6237600 0.00000017 ecm:0.0000
etapa 6237700 0.00000017 ecm:0.0000
etapa 6237800 0.00000017 ecm:0.0000
etapa 6237900 0.00000017 ecm:0.0000
etapa 6238000 0.00000017 ecm:0.0000
etapa 6238100 0.00000017 ecm:0.0000
etapa 6238200 0.00000017 ecm:0.0000
etapa 6238300 0.00000017 ecm:0.0000
etapa 6238400 0.00000017 ecm:0.0000
etapa 6238500 0.00000017 ecm:0.0000
etapa 6238600 0.00000017 ecm:0.0000
etapa 6238700 0.00000017 ecm:0.0000
etapa 6238800 0.00000017 ecm:0.0000
etapa 6238900 0.00000017 ecm:0.0000
etapa 6239000 0.00000017 ecm:0.0000
etapa 6239100 0.00000017 ecm:0.0000
etapa 6239200 0.00000017 ecm:0.0000
etapa 6239300 0.00000017 ecm:0.0000
etapa 6239400 0.00000017 ecm:0.0000
etapa 6239500 0.00000017 ecm:0.0000
etapa 6239600 0.00000017 ecm:0.0000
etapa 6239700 0.00000017 ecm:0.0000
etapa 6239800 0.00000017 ecm:0.0000
etapa 6239900 0.00000017 ecm:0.0000
etapa 6240000 0.00000017 ecm:0.0000
etapa 6240100 0.00000017 ecm:0.0000
etapa 6240200 0.00000017 ecm:0.0000
etapa 6240300 0.00000017 ecm:0.0000
etapa 6240400 0.00000017 ecm:0.0000
etapa 6240500 0.00000017 ecm:0.0000
etapa 6240600 0.00000017 ecm:0.0000
etapa 6240700 0.00000017 ecm:0.0000
etapa 6240800 0.00000017 ecm:0.0000
etapa 6240900 0.00000017 ecm:0.0000
etapa 6241000 0.00000017 ecm:0.0000
etapa 6241100 0.00000017 ecm:0.0000
etapa 6241200 0.00000017 ecm:0.0000
etapa 6241300 0.00000017 ecm:0.0000
etapa 6241400 0.00000017 ecm:0.0000
etapa 6241500 0.00000017 ecm:0.0000
etapa 6241600 0.00000017 ecm:0.0000
etapa 6241700 0.00000017 ecm:0.0000
etapa 6241800 0.00000017 ecm:0.0000
etapa 6241900 0.00000017 ecm:0.0000
etapa 6242000 0.00000017 ecm:0.0000
etapa 6242100 0.00000017 ecm:0.0000
etapa 6242200 0.00000017 ecm:0.0000
etapa 6242300 0.00000017 ecm:0.0000
etapa 6242400 0.00000017 ecm:0.0000
etapa 6242500 0.00000017 ecm:0.0000
etapa 6242600 0.00000017 ecm:0.0000
etapa 6242700 0.00000017 ecm:0.0000
etapa 6242800 0.00000017 ecm:0.0000
etapa 6242900 0.00000017 ecm:0.0000
etapa 6243000 0.00000017 ecm:0.0000
etapa 6243100 0.00000017 ecm:0.0000
etapa 6243200 0.00000017 ecm:0.0000
etapa 6243300 0.00000017 ecm:0.0000
etapa 6243400 0.00000017 ecm:0.0000
etapa 6243500 0.00000017 ecm:0.0000
etapa 6243600 0.00000017 ecm:0.0000
etapa 6243700 0.00000017 ecm:0.0000
etapa 6243800 0.00000017 ecm:0.0000
etapa 6243900 0.00000017 ecm:0.0000
etapa 6244000 0.00000017 ecm:0.0000
etapa 6244100 0.00000017 ecm:0.0000
etapa 6244200 0.00000017 ecm:0.0000
etapa 6244300 0.00000017 ecm:0.0000
etapa 6244400 0.00000017 ecm:0.0000
etapa 6244500 0.00000017 ecm:0.0000
etapa 6244600 0.00000017 ecm:0.0000
etapa 6244700 0.00000017 ecm:0.0000
etapa 6244800 0.00000017 ecm:0.0000
etapa 6244900 0.00000017 ecm:0.0000
etapa 6245000 0.00000017 ecm:0.0000
etapa 6245100 0.00000017 ecm:0.0000
etapa 6245200 0.00000017 ecm:0.0000
etapa 6245300 0.00000017 ecm:0.0000
etapa 6245400 0.00000017 ecm:0.0000
etapa 6245500 0.00000017 ecm:0.0000
etapa 6245600 0.00000017 ecm:0.0000
etapa 6245700 0.00000017 ecm:0.0000
etapa 6245800 0.00000017 ecm:0.0000
etapa 6245900 0.00000017 ecm:0.0000
etapa 6246000 0.00000017 ecm:0.0000
etapa 6246100 0.00000017 ecm:0.0000
etapa 6246200 0.00000017 ecm:0.0000
etapa 6246300 0.00000017 ecm:0.0000
etapa 6246400 0.00000017 ecm:0.0000
etapa 6246500 0.00000017 ecm:0.0000
etapa 6246600 0.00000017 ecm:0.0000
etapa 6246700 0.00000017 ecm:0.0000
etapa 6246800 0.00000017 ecm:0.0000
etapa 6246900 0.00000017 ecm:0.0000
etapa 6247000 0.00000017 ecm:0.0000
etapa 6247100 0.00000017 ecm:0.0000
etapa 6247200 0.00000017 ecm:0.0000
etapa 6247300 0.00000017 ecm:0.0000
etapa 6247400 0.00000017 ecm:0.0000
etapa 6247500 0.00000017 ecm:0.0000
etapa 6247600 0.00000017 ecm:0.0000
etapa 6247700 0.00000017 ecm:0.0000
etapa 6247800 0.00000017 ecm:0.0000
etapa 6247900 0.00000017 ecm:0.0000
etapa 6248000 0.00000017 ecm:0.0000
etapa 6248100 0.00000017 ecm:0.0000
etapa 6248200 0.00000017 ecm:0.0000
etapa 6248300 0.00000017 ecm:0.0000
etapa 6248400 0.00000017 ecm:0.0000
etapa 6248500 0.00000017 ecm:0.0000
etapa 6248600 0.00000017 ecm:0.0000
etapa 6248700 0.00000017 ecm:0.0000
etapa 6248800 0.00000017 ecm:0.0000
etapa 6248900 0.00000017 ecm:0.0000
etapa 6249000 0.00000017 ecm:0.0000
etapa 6249100 0.00000017 ecm:0.0000
etapa 6249200 0.00000017 ecm:0.0000
etapa 6249300 0.00000017 ecm:0.0000
etapa 6249400 0.00000017 ecm:0.0000
etapa 6249500 0.00000017 ecm:0.0000
etapa 6249600 0.00000017 ecm:0.0000
etapa 6249700 0.00000017 ecm:0.0000
etapa 6249800 0.00000017 ecm:0.0000
etapa 6249900 0.00000017 ecm:0.0000
etapa 6250000 0.00000017 ecm:0.0000
etapa 6250100 0.00000017 ecm:0.0000
etapa 6250200 0.00000017 ecm:0.0000
etapa 6250300 0.00000017 ecm:0.0000
etapa 6250400 0.00000017 ecm:0.0000
etapa 6250500 0.00000017 ecm:0.0000
etapa 6250600 0.00000017 ecm:0.0000
etapa 6250700 0.00000017 ecm:0.0000
etapa 6250800 0.00000017 ecm:0.0000
etapa 6250900 0.00000017 ecm:0.0000
etapa 6251000 0.00000017 ecm:0.0000
etapa 6251100 0.00000017 ecm:0.0000
etapa 6251200 0.00000017 ecm:0.0000
etapa 6251300 0.00000017 ecm:0.0000
etapa 6251400 0.00000017 ecm:0.0000
etapa 6251500 0.00000017 ecm:0.0000
etapa 6251600 0.00000017 ecm:0.0000
etapa 6251700 0.00000017 ecm:0.0000
etapa 6251800 0.00000017 ecm:0.0000
etapa 6251900 0.00000017 ecm:0.0000
etapa 6252000 0.00000017 ecm:0.0000
etapa 6252100 0.00000017 ecm:0.0000
etapa 6252200 0.00000017 ecm:0.0000
etapa 6252300 0.00000017 ecm:0.0000
etapa 6252400 0.00000017 ecm:0.0000
etapa 6252500 0.00000017 ecm:0.0000
etapa 6252600 0.00000017 ecm:0.0000
etapa 6252700 0.00000017 ecm:0.0000
etapa 6252800 0.00000017 ecm:0.0000
etapa 6252900 0.00000017 ecm:0.0000
etapa 6253000 0.00000017 ecm:0.0000
etapa 6253100 0.00000017 ecm:0.0000
etapa 6253200 0.00000017 ecm:0.0000
etapa 6253300 0.00000017 ecm:0.0000
etapa 6253400 0.00000017 ecm:0.0000
etapa 6253500 0.00000017 ecm:0.0000
etapa 6253600 0.00000017 ecm:0.0000
etapa 6253700 0.00000017 ecm:0.0000
etapa 6253800 0.00000017 ecm:0.0000
etapa 6253900 0.00000017 ecm:0.0000
etapa 6254000 0.00000017 ecm:0.0000
etapa 6254100 0.00000017 ecm:0.0000
etapa 6254200 0.00000017 ecm:0.0000
etapa 6254300 0.00000017 ecm:0.0000
etapa 6254400 0.00000017 ecm:0.0000
etapa 6254500 0.00000017 ecm:0.0000
etapa 6254600 0.00000017 ecm:0.0000
etapa 6254700 0.00000017 ecm:0.0000
etapa 6254800 0.00000017 ecm:0.0000
etapa 6254900 0.00000017 ecm:0.0000
etapa 6255000 0.00000017 ecm:0.0000
etapa 6255100 0.00000017 ecm:0.0000
etapa 6255200 0.00000017 ecm:0.0000
etapa 6255300 0.00000017 ecm:0.0000
etapa 6255400 0.00000017 ecm:0.0000
etapa 6255500 0.00000017 ecm:0.0000
etapa 6255600 0.00000017 ecm:0.0000
etapa 6255700 0.00000017 ecm:0.0000
etapa 6255800 0.00000017 ecm:0.0000
etapa 6255900 0.00000017 ecm:0.0000
etapa 6256000 0.00000017 ecm:0.0000
etapa 6256100 0.00000017 ecm:0.0000
etapa 6256200 0.00000017 ecm:0.0000
etapa 6256300 0.00000017 ecm:0.0000
etapa 6256400 0.00000017 ecm:0.0000
etapa 6256500 0.00000017 ecm:0.0000
etapa 6256600 0.00000017 ecm:0.0000
etapa 6256700 0.00000017 ecm:0.0000
etapa 6256800 0.00000017 ecm:0.0000
etapa 6256900 0.00000017 ecm:0.0000
etapa 6257000 0.00000017 ecm:0.0000
etapa 6257100 0.00000017 ecm:0.0000
etapa 6257200 0.00000017 ecm:0.0000
etapa 6257300 0.00000017 ecm:0.0000
etapa 6257400 0.00000017 ecm:0.0000
etapa 6257500 0.00000017 ecm:0.0000
etapa 6257600 0.00000017 ecm:0.0000
etapa 6257700 0.00000017 ecm:0.0000
etapa 6257800 0.00000017 ecm:0.0000
etapa 6257900 0.00000017 ecm:0.0000
etapa 6258000 0.00000017 ecm:0.0000
etapa 6258100 0.00000017 ecm:0.0000
etapa 6258200 0.00000017 ecm:0.0000
etapa 6258300 0.00000017 ecm:0.0000
etapa 6258400 0.00000017 ecm:0.0000
etapa 6258500 0.00000017 ecm:0.0000
etapa 6258600 0.00000017 ecm:0.0000
etapa 6258700 0.00000017 ecm:0.0000
etapa 6258800 0.00000017 ecm:0.0000
etapa 6258900 0.00000017 ecm:0.0000
etapa 6259000 0.00000017 ecm:0.0000
etapa 6259100 0.00000017 ecm:0.0000
etapa 6259200 0.00000017 ecm:0.0000
etapa 6259300 0.00000017 ecm:0.0000
etapa 6259400 0.00000017 ecm:0.0000
etapa 6259500 0.00000017 ecm:0.0000
etapa 6259600 0.00000017 ecm:0.0000
etapa 6259700 0.00000017 ecm:0.0000
etapa 6259800 0.00000017 ecm:0.0000
etapa 6259900 0.00000017 ecm:0.0000
etapa 6260000 0.00000017 ecm:0.0000
etapa 6260100 0.00000017 ecm:0.0000
etapa 6260200 0.00000017 ecm:0.0000
etapa 6260300 0.00000017 ecm:0.0000
etapa 6260400 0.00000017 ecm:0.0000
etapa 6260500 0.00000017 ecm:0.0000
etapa 6260600 0.00000017 ecm:0.0000
etapa 6260700 0.00000017 ecm:0.0000
etapa 6260800 0.00000017 ecm:0.0000
etapa 6260900 0.00000017 ecm:0.0000
etapa 6261000 0.00000017 ecm:0.0000
etapa 6261100 0.00000017 ecm:0.0000
etapa 6261200 0.00000017 ecm:0.0000
etapa 6261300 0.00000017 ecm:0.0000
etapa 6261400 0.00000017 ecm:0.0000
etapa 6261500 0.00000017 ecm:0.0000
etapa 6261600 0.00000017 ecm:0.0000
etapa 6261700 0.00000017 ecm:0.0000
etapa 6261800 0.00000017 ecm:0.0000
etapa 6261900 0.00000017 ecm:0.0000
etapa 6262000 0.00000017 ecm:0.0000
etapa 6262100 0.00000017 ecm:0.0000
etapa 6262200 0.00000017 ecm:0.0000
etapa 6262300 0.00000017 ecm:0.0000
etapa 6262400 0.00000017 ecm:0.0000
etapa 6262500 0.00000017 ecm:0.0000
etapa 6262600 0.00000017 ecm:0.0000
etapa 6262700 0.00000017 ecm:0.0000
etapa 6262800 0.00000017 ecm:0.0000
etapa 6262900 0.00000017 ecm:0.0000
etapa 6263000 0.00000017 ecm:0.0000
etapa 6263100 0.00000017 ecm:0.0000
etapa 6263200 0.00000017 ecm:0.0000
etapa 6263300 0.00000017 ecm:0.0000
etapa 6263400 0.00000017 ecm:0.0000
etapa 6263500 0.00000017 ecm:0.0000
etapa 6263600 0.00000017 ecm:0.0000
etapa 6263700 0.00000017 ecm:0.0000
etapa 6263800 0.00000017 ecm:0.0000
etapa 6263900 0.00000017 ecm:0.0000
etapa 6264000 0.00000017 ecm:0.0000
etapa 6264100 0.00000017 ecm:0.0000
etapa 6264200 0.00000017 ecm:0.0000
etapa 6264300 0.00000017 ecm:0.0000
etapa 6264400 0.00000017 ecm:0.0000
etapa 6264500 0.00000017 ecm:0.0000
etapa 6264600 0.00000017 ecm:0.0000
etapa 6264700 0.00000017 ecm:0.0000
etapa 6264800 0.00000017 ecm:0.0000
etapa 6264900 0.00000017 ecm:0.0000
etapa 6265000 0.00000017 ecm:0.0000
etapa 6265100 0.00000017 ecm:0.0000
etapa 6265200 0.00000017 ecm:0.0000
etapa 6265300 0.00000017 ecm:0.0000
etapa 6265400 0.00000017 ecm:0.0000
etapa 6265500 0.00000017 ecm:0.0000
etapa 6265600 0.00000017 ecm:0.0000
etapa 6265700 0.00000017 ecm:0.0000
etapa 6265800 0.00000017 ecm:0.0000
etapa 6265900 0.00000017 ecm:0.0000
etapa 6266000 0.00000017 ecm:0.0000
etapa 6266100 0.00000017 ecm:0.0000
etapa 6266200 0.00000017 ecm:0.0000
etapa 6266300 0.00000017 ecm:0.0000
etapa 6266400 0.00000017 ecm:0.0000
etapa 6266500 0.00000017 ecm:0.0000
etapa 6266600 0.00000017 ecm:0.0000
etapa 6266700 0.00000017 ecm:0.0000
etapa 6266800 0.00000017 ecm:0.0000
etapa 6266900 0.00000017 ecm:0.0000
etapa 6267000 0.00000017 ecm:0.0000
etapa 6267100 0.00000017 ecm:0.0000
etapa 6267200 0.00000017 ecm:0.0000
etapa 6267300 0.00000017 ecm:0.0000
etapa 6267400 0.00000017 ecm:0.0000
etapa 6267500 0.00000017 ecm:0.0000
etapa 6267600 0.00000017 ecm:0.0000
etapa 6267700 0.00000017 ecm:0.0000
etapa 6267800 0.00000017 ecm:0.0000
etapa 6267900 0.00000017 ecm:0.0000
etapa 6268000 0.00000017 ecm:0.0000
etapa 6268100 0.00000017 ecm:0.0000
etapa 6268200 0.00000017 ecm:0.0000
etapa 6268300 0.00000017 ecm:0.0000
etapa 6268400 0.00000017 ecm:0.0000
etapa 6268500 0.00000017 ecm:0.0000
etapa 6268600 0.00000017 ecm:0.0000
etapa 6268700 0.00000017 ecm:0.0000
etapa 6268800 0.00000017 ecm:0.0000
etapa 6268900 0.00000017 ecm:0.0000
etapa 6269000 0.00000017 ecm:0.0000
etapa 6269100 0.00000017 ecm:0.0000
etapa 6269200 0.00000017 ecm:0.0000
etapa 6269300 0.00000017 ecm:0.0000
etapa 6269400 0.00000017 ecm:0.0000
etapa 6269500 0.00000017 ecm:0.0000
etapa 6269600 0.00000017 ecm:0.0000
etapa 6269700 0.00000017 ecm:0.0000
etapa 6269800 0.00000017 ecm:0.0000
etapa 6269900 0.00000017 ecm:0.0000
etapa 6270000 0.00000017 ecm:0.0000
etapa 6270100 0.00000017 ecm:0.0000
etapa 6270200 0.00000017 ecm:0.0000
etapa 6270300 0.00000017 ecm:0.0000
etapa 6270400 0.00000017 ecm:0.0000
etapa 6270500 0.00000017 ecm:0.0000
etapa 6270600 0.00000017 ecm:0.0000
etapa 6270700 0.00000017 ecm:0.0000
etapa 6270800 0.00000017 ecm:0.0000
etapa 6270900 0.00000017 ecm:0.0000
etapa 6271000 0.00000017 ecm:0.0000
etapa 6271100 0.00000017 ecm:0.0000
etapa 6271200 0.00000017 ecm:0.0000
etapa 6271300 0.00000017 ecm:0.0000
etapa 6271400 0.00000017 ecm:0.0000
etapa 6271500 0.00000017 ecm:0.0000
etapa 6271600 0.00000017 ecm:0.0000
etapa 6271700 0.00000017 ecm:0.0000
etapa 6271800 0.00000017 ecm:0.0000
etapa 6271900 0.00000017 ecm:0.0000
etapa 6272000 0.00000017 ecm:0.0000
etapa 6272100 0.00000017 ecm:0.0000
etapa 6272200 0.00000017 ecm:0.0000
etapa 6272300 0.00000017 ecm:0.0000
etapa 6272400 0.00000017 ecm:0.0000
etapa 6272500 0.00000017 ecm:0.0000
etapa 6272600 0.00000017 ecm:0.0000
etapa 6272700 0.00000017 ecm:0.0000
etapa 6272800 0.00000017 ecm:0.0000
etapa 6272900 0.00000017 ecm:0.0000
etapa 6273000 0.00000017 ecm:0.0000
etapa 6273100 0.00000017 ecm:0.0000
etapa 6273200 0.00000017 ecm:0.0000
etapa 6273300 0.00000017 ecm:0.0000
etapa 6273400 0.00000017 ecm:0.0000
etapa 6273500 0.00000017 ecm:0.0000
etapa 6273600 0.00000017 ecm:0.0000
etapa 6273700 0.00000017 ecm:0.0000
etapa 6273800 0.00000017 ecm:0.0000
etapa 6273900 0.00000017 ecm:0.0000
etapa 6274000 0.00000017 ecm:0.0000
etapa 6274100 0.00000017 ecm:0.0000
etapa 6274200 0.00000017 ecm:0.0000
etapa 6274300 0.00000017 ecm:0.0000
etapa 6274400 0.00000017 ecm:0.0000
etapa 6274500 0.00000017 ecm:0.0000
etapa 6274600 0.00000017 ecm:0.0000
etapa 6274700 0.00000017 ecm:0.0000
etapa 6274800 0.00000017 ecm:0.0000
etapa 6274900 0.00000017 ecm:0.0000
etapa 6275000 0.00000017 ecm:0.0000
etapa 6275100 0.00000017 ecm:0.0000
etapa 6275200 0.00000017 ecm:0.0000
etapa 6275300 0.00000017 ecm:0.0000
etapa 6275400 0.00000016 ecm:0.0000
etapa 6275500 0.00000016 ecm:0.0000
etapa 6275600 0.00000016 ecm:0.0000
etapa 6275700 0.00000016 ecm:0.0000
etapa 6275800 0.00000016 ecm:0.0000
etapa 6275900 0.00000016 ecm:0.0000
etapa 6276000 0.00000016 ecm:0.0000
etapa 6276100 0.00000016 ecm:0.0000
etapa 6276200 0.00000016 ecm:0.0000
etapa 6276300 0.00000016 ecm:0.0000
etapa 6276400 0.00000016 ecm:0.0000
etapa 6276500 0.00000016 ecm:0.0000
etapa 6276600 0.00000016 ecm:0.0000
etapa 6276700 0.00000016 ecm:0.0000
etapa 6276800 0.00000016 ecm:0.0000
etapa 6276900 0.00000016 ecm:0.0000
etapa 6277000 0.00000016 ecm:0.0000
etapa 6277100 0.00000016 ecm:0.0000
etapa 6277200 0.00000016 ecm:0.0000
etapa 6277300 0.00000016 ecm:0.0000
etapa 6277400 0.00000016 ecm:0.0000
etapa 6277500 0.00000016 ecm:0.0000
etapa 6277600 0.00000016 ecm:0.0000
etapa 6277700 0.00000016 ecm:0.0000
etapa 6277800 0.00000016 ecm:0.0000
etapa 6277900 0.00000016 ecm:0.0000
etapa 6278000 0.00000016 ecm:0.0000
etapa 6278100 0.00000016 ecm:0.0000
etapa 6278200 0.00000016 ecm:0.0000
etapa 6278300 0.00000016 ecm:0.0000
etapa 6278400 0.00000016 ecm:0.0000
etapa 6278500 0.00000016 ecm:0.0000
etapa 6278600 0.00000016 ecm:0.0000
etapa 6278700 0.00000016 ecm:0.0000
etapa 6278800 0.00000016 ecm:0.0000
etapa 6278900 0.00000016 ecm:0.0000
etapa 6279000 0.00000016 ecm:0.0000
etapa 6279100 0.00000016 ecm:0.0000
etapa 6279200 0.00000016 ecm:0.0000
etapa 6279300 0.00000016 ecm:0.0000
etapa 6279400 0.00000016 ecm:0.0000
etapa 6279500 0.00000016 ecm:0.0000
etapa 6279600 0.00000016 ecm:0.0000
etapa 6279700 0.00000016 ecm:0.0000
etapa 6279800 0.00000016 ecm:0.0000
etapa 6279900 0.00000016 ecm:0.0000
etapa 6280000 0.00000016 ecm:0.0000
etapa 6280100 0.00000016 ecm:0.0000
etapa 6280200 0.00000016 ecm:0.0000
etapa 6280300 0.00000016 ecm:0.0000
etapa 6280400 0.00000016 ecm:0.0000
etapa 6280500 0.00000016 ecm:0.0000
etapa 6280600 0.00000016 ecm:0.0000
etapa 6280700 0.00000016 ecm:0.0000
etapa 6280800 0.00000016 ecm:0.0000
etapa 6280900 0.00000016 ecm:0.0000
etapa 6281000 0.00000016 ecm:0.0000
etapa 6281100 0.00000016 ecm:0.0000
etapa 6281200 0.00000016 ecm:0.0000
etapa 6281300 0.00000016 ecm:0.0000
etapa 6281400 0.00000016 ecm:0.0000
etapa 6281500 0.00000016 ecm:0.0000
etapa 6281600 0.00000016 ecm:0.0000
etapa 6281700 0.00000016 ecm:0.0000
etapa 6281800 0.00000016 ecm:0.0000
etapa 6281900 0.00000016 ecm:0.0000
etapa 6282000 0.00000016 ecm:0.0000
etapa 6282100 0.00000016 ecm:0.0000
etapa 6282200 0.00000016 ecm:0.0000
etapa 6282300 0.00000016 ecm:0.0000
etapa 6282400 0.00000016 ecm:0.0000
etapa 6282500 0.00000016 ecm:0.0000
etapa 6282600 0.00000016 ecm:0.0000
etapa 6282700 0.00000016 ecm:0.0000
etapa 6282800 0.00000016 ecm:0.0000
etapa 6282900 0.00000016 ecm:0.0000
etapa 6283000 0.00000016 ecm:0.0000
etapa 6283100 0.00000016 ecm:0.0000
etapa 6283200 0.00000016 ecm:0.0000
etapa 6283300 0.00000016 ecm:0.0000
etapa 6283400 0.00000016 ecm:0.0000
etapa 6283500 0.00000016 ecm:0.0000
etapa 6283600 0.00000016 ecm:0.0000
etapa 6283700 0.00000016 ecm:0.0000
etapa 6283800 0.00000016 ecm:0.0000
etapa 6283900 0.00000016 ecm:0.0000
etapa 6284000 0.00000016 ecm:0.0000
etapa 6284100 0.00000016 ecm:0.0000
etapa 6284200 0.00000016 ecm:0.0000
etapa 6284300 0.00000016 ecm:0.0000
etapa 6284400 0.00000016 ecm:0.0000
etapa 6284500 0.00000016 ecm:0.0000
etapa 6284600 0.00000016 ecm:0.0000
etapa 6284700 0.00000016 ecm:0.0000
etapa 6284800 0.00000016 ecm:0.0000
etapa 6284900 0.00000016 ecm:0.0000
etapa 6285000 0.00000016 ecm:0.0000
etapa 6285100 0.00000016 ecm:0.0000
etapa 6285200 0.00000016 ecm:0.0000
etapa 6285300 0.00000016 ecm:0.0000
etapa 6285400 0.00000016 ecm:0.0000
etapa 6285500 0.00000016 ecm:0.0000
etapa 6285600 0.00000016 ecm:0.0000
etapa 6285700 0.00000016 ecm:0.0000
etapa 6285800 0.00000016 ecm:0.0000
etapa 6285900 0.00000016 ecm:0.0000
etapa 6286000 0.00000016 ecm:0.0000
etapa 6286100 0.00000016 ecm:0.0000
etapa 6286200 0.00000016 ecm:0.0000
etapa 6286300 0.00000016 ecm:0.0000
etapa 6286400 0.00000016 ecm:0.0000
etapa 6286500 0.00000016 ecm:0.0000
etapa 6286600 0.00000016 ecm:0.0000
etapa 6286700 0.00000016 ecm:0.0000
etapa 6286800 0.00000016 ecm:0.0000
etapa 6286900 0.00000016 ecm:0.0000
etapa 6287000 0.00000016 ecm:0.0000
etapa 6287100 0.00000016 ecm:0.0000
etapa 6287200 0.00000016 ecm:0.0000
etapa 6287300 0.00000016 ecm:0.0000
etapa 6287400 0.00000016 ecm:0.0000
etapa 6287500 0.00000016 ecm:0.0000
etapa 6287600 0.00000016 ecm:0.0000
etapa 6287700 0.00000016 ecm:0.0000
etapa 6287800 0.00000016 ecm:0.0000
etapa 6287900 0.00000016 ecm:0.0000
etapa 6288000 0.00000016 ecm:0.0000
etapa 6288100 0.00000016 ecm:0.0000
etapa 6288200 0.00000016 ecm:0.0000
etapa 6288300 0.00000016 ecm:0.0000
etapa 6288400 0.00000016 ecm:0.0000
etapa 6288500 0.00000016 ecm:0.0000
etapa 6288600 0.00000016 ecm:0.0000
etapa 6288700 0.00000016 ecm:0.0000
etapa 6288800 0.00000016 ecm:0.0000
etapa 6288900 0.00000016 ecm:0.0000
etapa 6289000 0.00000016 ecm:0.0000
etapa 6289100 0.00000016 ecm:0.0000
etapa 6289200 0.00000016 ecm:0.0000
etapa 6289300 0.00000016 ecm:0.0000
etapa 6289400 0.00000016 ecm:0.0000
etapa 6289500 0.00000016 ecm:0.0000
etapa 6289600 0.00000016 ecm:0.0000
etapa 6289700 0.00000016 ecm:0.0000
etapa 6289800 0.00000016 ecm:0.0000
etapa 6289900 0.00000016 ecm:0.0000
etapa 6290000 0.00000016 ecm:0.0000
etapa 6290100 0.00000016 ecm:0.0000
etapa 6290200 0.00000016 ecm:0.0000
etapa 6290300 0.00000016 ecm:0.0000
etapa 6290400 0.00000016 ecm:0.0000
etapa 6290500 0.00000016 ecm:0.0000
etapa 6290600 0.00000016 ecm:0.0000
etapa 6290700 0.00000016 ecm:0.0000
etapa 6290800 0.00000016 ecm:0.0000
etapa 6290900 0.00000016 ecm:0.0000
etapa 6291000 0.00000016 ecm:0.0000
etapa 6291100 0.00000016 ecm:0.0000
etapa 6291200 0.00000016 ecm:0.0000
etapa 6291300 0.00000016 ecm:0.0000
etapa 6291400 0.00000016 ecm:0.0000
etapa 6291500 0.00000016 ecm:0.0000
etapa 6291600 0.00000016 ecm:0.0000
etapa 6291700 0.00000016 ecm:0.0000
etapa 6291800 0.00000016 ecm:0.0000
etapa 6291900 0.00000016 ecm:0.0000
etapa 6292000 0.00000016 ecm:0.0000
etapa 6292100 0.00000016 ecm:0.0000
etapa 6292200 0.00000016 ecm:0.0000
etapa 6292300 0.00000016 ecm:0.0000
etapa 6292400 0.00000016 ecm:0.0000
etapa 6292500 0.00000016 ecm:0.0000
etapa 6292600 0.00000016 ecm:0.0000
etapa 6292700 0.00000016 ecm:0.0000
etapa 6292800 0.00000016 ecm:0.0000
etapa 6292900 0.00000016 ecm:0.0000
etapa 6293000 0.00000016 ecm:0.0000
etapa 6293100 0.00000016 ecm:0.0000
