tasa de aprendizaje no especificada se estable ce en 0.1000
train no especficado se estable ce en 0.6500
train no especficado se establece en 0.3500
etapa 54200 0.00001980 ecm:0.0000
etapa 54300 0.00001977 ecm:0.0000
etapa 54400 0.00001973 ecm:0.0000
etapa 54500 0.00001969 ecm:0.0000
etapa 54600 0.00001966 ecm:0.0000
etapa 54700 0.00001962 ecm:0.0000
etapa 54800 0.00001958 ecm:0.0000
etapa 54900 0.00001955 ecm:0.0000
etapa 55000 0.00001951 ecm:0.0000
etapa 55100 0.00001948 ecm:0.0000
etapa 55200 0.00001944 ecm:0.0000
etapa 55300 0.00001940 ecm:0.0000
etapa 55400 0.00001937 ecm:0.0000
etapa 55500 0.00001933 ecm:0.0000
etapa 55600 0.00001930 ecm:0.0000
etapa 55700 0.00001926 ecm:0.0000
etapa 55800 0.00001923 ecm:0.0000
etapa 55900 0.00001919 ecm:0.0000
etapa 56000 0.00001916 ecm:0.0000
etapa 56100 0.00001912 ecm:0.0000
etapa 56200 0.00001909 ecm:0.0000
etapa 56300 0.00001906 ecm:0.0000
etapa 56400 0.00001902 ecm:0.0000
etapa 56500 0.00001899 ecm:0.0000
etapa 56600 0.00001895 ecm:0.0000
etapa 56700 0.00001892 ecm:0.0000
etapa 56800 0.00001889 ecm:0.0000
etapa 56900 0.00001885 ecm:0.0000
etapa 57000 0.00001882 ecm:0.0000
etapa 57100 0.00001878 ecm:0.0000
etapa 57200 0.00001875 ecm:0.0000
etapa 57300 0.00001872 ecm:0.0000
etapa 57400 0.00001869 ecm:0.0000
etapa 57500 0.00001865 ecm:0.0000
etapa 57600 0.00001862 ecm:0.0000
etapa 57700 0.00001859 ecm:0.0000
etapa 57800 0.00001855 ecm:0.0000
etapa 57900 0.00001852 ecm:0.0000
etapa 58000 0.00001849 ecm:0.0000
etapa 58100 0.00001846 ecm:0.0000
etapa 58200 0.00001843 ecm:0.0000
etapa 58300 0.00001839 ecm:0.0000
etapa 58400 0.00001836 ecm:0.0000
etapa 58500 0.00001833 ecm:0.0000
etapa 58600 0.00001830 ecm:0.0000
etapa 58700 0.00001827 ecm:0.0000
etapa 58800 0.00001823 ecm:0.0000
etapa 58900 0.00001820 ecm:0.0000
etapa 59000 0.00001817 ecm:0.0000
etapa 59100 0.00001814 ecm:0.0000
etapa 59200 0.00001811 ecm:0.0000
etapa 59300 0.00001808 ecm:0.0000
etapa 59400 0.00001805 ecm:0.0000
etapa 59500 0.00001802 ecm:0.0000
etapa 59600 0.00001799 ecm:0.0000
etapa 59700 0.00001796 ecm:0.0000
etapa 59800 0.00001793 ecm:0.0000
etapa 59900 0.00001790 ecm:0.0000
etapa 60000 0.00001787 ecm:0.0000
etapa 60100 0.00001784 ecm:0.0000
etapa 60200 0.00001781 ecm:0.0000
etapa 60300 0.00001778 ecm:0.0000
etapa 60400 0.00001775 ecm:0.0000
etapa 60500 0.00001772 ecm:0.0000
etapa 60600 0.00001769 ecm:0.0000
etapa 60700 0.00001766 ecm:0.0000
etapa 60800 0.00001763 ecm:0.0000
etapa 60900 0.00001760 ecm:0.0000
etapa 61000 0.00001757 ecm:0.0000
etapa 61100 0.00001754 ecm:0.0000
